Hotel Monceau WagramOpens in new window	The Novotel Paris Center Tour Eiffel is within walking distance of the Eiffel Tower in the heart of Paris and is a 10-minute drive to the Parc des Princes Stadium.	1725556508	1726593308	Cologne	https://cdn.worldota.net/t/640x400/extranet/db/22/db22bb803d39d3ebeb185cee7b577c50dc3bf04e.jpeg	https://cdn.worldota.net/t/640x400/extranet/e4/bc/e4bcf60900e64c658ae2938b16aba9efcc5858e5.JPEG;https://cdn.worldota.net/t/640x400/extranet/5c/7f/5c7f4ecfec95120ceac833d3373cae8fd66c7321.JPEG	true	false	2	apartment	4	4	80986	Towels;Fridge	1	443	50.938361	6.959974
Hotel Monceau WagramOpens in new window	The 4-star hotel Pullman Paris Tour Eiffel is set at the foot of the Eiffel Tower and the Trocadero.	1725988508	1726074908	Cologne	https://cdn.worldota.net/t/640x400/extranet/a0/8a/a08af327129a27e3fb10e7024692d1ed0fe8192a.JPEG	https://cdn.worldota.net/t/640x400/extranet/e4/bc/e4bcf60900e64c658ae2938b16aba9efcc5858e5.JPEG;https://cdn.worldota.net/t/640x400/extranet/5c/7f/5c7f4ecfec95120ceac833d3373cae8fd66c7321.JPEG	false	false	4	house	7	10	92299	Towels;Fridge	1	346	50.938361	6.959974
Le 7 Eiffel Hotel by MaloneOpens in new window	Located in the north of Paris near Boulevard Périphérique, ibis Budget Paris Porte De Montmartre is just a 10-minute walk from Porte de Saint-Ouen Metro Station.	1725729308	1726074908	Paris	https://cdn.worldota.net/t/640x400/extranet/a0/8a/a08af327129a27e3fb10e7024692d1ed0fe8192a.JPEG	https://cdn.worldota.net/t/640x400/extranet/5c/7f/5c7f4ecfec95120ceac833d3373cae8fd66c7321.JPEG	true	false	4	house	7	2	55443	Air conditioning;Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	1	880	48.85661	2.351499
A delightful studio with terrace	The 4-star hotel Pullman Paris Tour Eiffel is set at the foot of the Eiffel Tower and the Trocadero.	1725729308	1726420508	Hamburg	https://cdn.worldota.net/t/640x400/extranet/db/22/db22bb803d39d3ebeb185cee7b577c50dc3bf04e.jpeg	https://cdn.worldota.net/t/640x400/extranet/e4/bc/e4bcf60900e64c658ae2938b16aba9efcc5858e5.JPEG	false	true	5	hotel	6	7	23789	Baby seat;Washer;Towels;Fridge	1	625	53.550341	10.000654
Hotel du Collectionneur	The 4-star hotel Pullman Paris Tour Eiffel is set at the foot of the Eiffel Tower and the Trocadero.	1725729308	1726420508	Dusseldorf	https://cdn.worldota.net/t/640x400/extranet/a0/8a/a08af327129a27e3fb10e7024692d1ed0fe8192a.JPEG		true	false	3	hotel	2	1	53913	Washer;Towels;Fridge	1	998	51.225402	6.776314
Hotel du Collectionneur	The 4-star hotel Pullman Paris Tour Eiffel is set at the foot of the Eiffel Tower and the Trocadero.	1725642908	1726506908	Hamburg	https://cdn.worldota.net/t/640x400/extranet/db/22/db22bb803d39d3ebeb185cee7b577c50dc3bf04e.jpeg	https://cdn.worldota.net/t/640x400/extranet/5c/7f/5c7f4ecfec95120ceac833d3373cae8fd66c7321.JPEG;https://cdn.worldota.net/t/640x400/extranet/e4/bc/e4bcf60900e64c658ae2938b16aba9efcc5858e5.JPEG;https://cdn.worldota.net/t/640x400/extranet/5c/7f/5c7f4ecfec95120ceac833d3373cae8fd66c7321.JPEG	true	true	5	house	1	6	39568	Washer;Towels;Fridge	1	495	53.550341	10.000654
Hotel du Collectionneur	The Novotel Paris Center Tour Eiffel is within walking distance of the Eiffel Tower in the heart of Paris and is a 10-minute drive to the Parc des Princes Stadium.	1726074908	1726161308	Hamburg	https://cdn.worldota.net/t/640x400/extranet/db/22/db22bb803d39d3ebeb185cee7b577c50dc3bf04e.jpeg	https://cdn.worldota.net/t/640x400/extranet/e4/bc/e4bcf60900e64c658ae2938b16aba9efcc5858e5.JPEG;https://cdn.worldota.net/t/640x400/extranet/5c/7f/5c7f4ecfec95120ceac833d3373cae8fd66c7321.JPEG	false	true	4	room	4	10	32523	Towels;Fridge	1	626	53.550341	10.000654
Hotel du Collectionneur	Located in the north of Paris near Boulevard Périphérique, ibis Budget Paris Porte De Montmartre is just a 10-minute walk from Porte de Saint-Ouen Metro Station.	1725642908	1726420508	Dusseldorf	https://cdn.worldota.net/t/640x400/extranet/db/22/db22bb803d39d3ebeb185cee7b577c50dc3bf04e.jpeg	https://cdn.worldota.net/t/640x400/extranet/e4/bc/e4bcf60900e64c658ae2938b16aba9efcc5858e5.JPEG;https://cdn.worldota.net/t/640x400/extranet/5c/7f/5c7f4ecfec95120ceac833d3373cae8fd66c7321.JPEG	true	false	4	house	2	8	1725	Towels;Fridge	1	632	51.225402	6.776314
Le 7 Eiffel Hotel by MaloneOpens in new window	The citizenM Paris Gare de Lyon is set in the 12th district of Paris. It offers views of the Seine and is located near to Gare de Lyon train station.	1725815708	1726247708	Cologne	https://cdn.worldota.net/t/640x400/extranet/db/22/db22bb803d39d3ebeb185cee7b577c50dc3bf04e.jpeg	https://cdn.worldota.net/t/640x400/extranet/e4/bc/e4bcf60900e64c658ae2938b16aba9efcc5858e5.JPEG;https://cdn.worldota.net/t/640x400/extranet/5c/7f/5c7f4ecfec95120ceac833d3373cae8fd66c7321.JPEG	false	true	1	room	2	8	59135	Air conditioning;Laptop friendly workspace	1	943	50.938361	6.959974
A delightful studio with terrace	The citizenM Paris Gare de Lyon is set in the 12th district of Paris. It offers views of the Seine and is located near to Gare de Lyon train station.	1725556508	1726334108	Cologne	https://cdn.worldota.net/t/640x400/extranet/db/22/db22bb803d39d3ebeb185cee7b577c50dc3bf04e.jpeg	https://cdn.worldota.net/t/640x400/extranet/5c/7f/5c7f4ecfec95120ceac833d3373cae8fd66c7321.JPEG;https://cdn.worldota.net/t/640x400/extranet/e4/bc/e4bcf60900e64c658ae2938b16aba9efcc5858e5.JPEG	true	true	5	hotel	4	2	55793	Washer;Towels;Fridge	1	795	50.938361	6.959974
